Label         ,Average            ,1                  ,2                  ,3                  ,4
ALL           ,0.9546247312927119 ,0.9540089613280481 ,0.9249314150831016 ,0.9679651528718949 ,0.971593395887803
B-Alinea      ,0.9123228845787393 ,0.8992             ,0.9011345218800648 ,0.932142857142857  ,0.9168141592920355
B-Amendement  ,0.7892857142857144 ,0.8571428571428571 ,0.5                ,0.8                ,1.0
B-Article     ,0.9504240201487908 ,0.9816849816849818 ,0.929663608562691  ,0.9714285714285714 ,0.918918918918919
B-Chapitre    ,0.9852941176470589 ,1.0                ,1.0                ,1.0                ,0.9411764705882353
B-Liste       ,0.9594486029282061 ,0.943327239488117  ,0.9620915032679738 ,0.976303317535545  ,0.9560723514211886
B-Pied        ,1.0                ,1.0                ,1.0                ,1.0                ,1.0
B-Section     ,1.0                ,1.0                ,1.0                ,1.0                ,1.0
B-SousSection ,1.0                ,1.0                ,1.0                ,1.0                ,1.0
B-TOC         ,1.0                ,1.0                ,1.0                ,1.0                ,1.0
B-Tete        ,0.9977064220183486 ,0.9908256880733944 ,1.0                ,1.0                ,1.0
B-Titre       ,0.9063902826129734 ,0.8219178082191781 ,0.8813559322033899 ,0.967741935483871  ,0.9545454545454546
