Label         ,Average            ,1                  ,2                  ,3                  ,4
ALL           ,0.9544262305979092 ,0.9401529291945198 ,0.9631363238774302 ,0.9594039707607557 ,0.955011698558931
B-Alinea      ,0.903754145885079  ,0.9099378881987578 ,0.8875192604006162 ,0.9094138543516873 ,0.9081455805892548
B-Amendement  ,0.96875            ,0.875              ,1.0                ,1.0                ,1.0
B-Article     ,0.9414132176053805 ,0.974910394265233  ,0.9146341463414634 ,0.9608540925266905 ,0.9152542372881355
B-Chapitre    ,0.9247890671420084 ,0.9090909090909091 ,0.9600000000000001 ,0.9411764705882353 ,0.888888888888889
B-Liste       ,0.9385559549490076 ,0.9309734513274337 ,0.9526315789473683 ,0.9298780487804877 ,0.9407407407407408
B-Pied        ,0.9779812311786539 ,0.944              ,0.9908256880733944 ,1.0                ,0.9770992366412213
B-Section     ,0.9939024390243902 ,0.975609756097561  ,1.0                ,1.0                ,1.0
B-SousSection ,1.0                ,1.0                ,1.0                ,1.0                ,1.0
B-TOC         ,0.9833333333333334 ,1.0                ,1.0                ,0.9333333333333333 ,1.0
B-Tete        ,0.9977477477477477 ,0.9909909909909909 ,1.0                ,1.0                ,1.0
B-Titre       ,0.8684613997113998 ,0.8311688311688312 ,0.888888888888889  ,0.8787878787878788 ,0.875
